city_code,city,state_short,state_full
1,Apo,AE,US Armed Forces Europe
2,DPO,AE,US Armed Forces Europe
3,FPO,AE,US Armed Forces Europe
4,Fpo,AE,US Armed Forces Europe
5,Adak,AK,Alaska
6,Akiachak,AK,Alaska
7,Akiak,AK,Alaska
8,Akutan,AK,Alaska
9,Alakanuk,AK,Alaska
10,Aleknagik,AK,Alaska
11,Allakaket,AK,Alaska
12,Ambler,AK,Alaska
13,Anaktuvuk Pass,AK,Alaska
14,Anchor Point,AK,Alaska
15,Anchorage,AK,Alaska
16,Anderson,AK,Alaska
17,Angoon,AK,Alaska
18,Aniak,AK,Alaska
19,Anvik,AK,Alaska
20,Arctic Village,AK,Alaska
21,Atka,AK,Alaska
22,Atqasuk,AK,Alaska
23,Auke Bay,AK,Alaska
24,Barrow,AK,Alaska
25,Beaver,AK,Alaska
26,Bethel,AK,Alaska
27,Bettles Field,AK,Alaska
28,Big Lake,AK,Alaska
29,Brevig Mission,AK,Alaska
30,Buckland,AK,Alaska
31,Cantwell,AK,Alaska
32,Central,AK,Alaska
33,Chalkyitsik,AK,Alaska
34,Chefornak,AK,Alaska
35,Chevak,AK,Alaska
36,Chicken,AK,Alaska
37,Chignik,AK,Alaska
38,Chignik Lagoon,AK,Alaska
39,Chignik Lake,AK,Alaska
40,Chitina,AK,Alaska
41,Chugiak,AK,Alaska
42,Circle,AK,Alaska
43,Clam Gulch,AK,Alaska
44,Clarks Point,AK,Alaska
45,Clear,AK,Alaska
46,Coffman Cove,AK,Alaska
47,Cold Bay,AK,Alaska
48,Cooper Landing,AK,Alaska
49,Copper Center,AK,Alaska
50,Cordova,AK,Alaska
51,Craig,AK,Alaska
52,Crooked Creek,AK,Alaska
53,Deering,AK,Alaska
54,Delta Junction,AK,Alaska
55,Denali National Park,AK,Alaska
56,Dillingham,AK,Alaska
57,Douglas,AK,Alaska
58,Dutch Harbor,AK,Alaska
59,Eagle,AK,Alaska
60,Eagle River,AK,Alaska
61,Eek,AK,Alaska
62,Egegik,AK,Alaska
63,Eielson AFB,AK,Alaska
64,Ekwok,AK,Alaska
65,Elfin Cove,AK,Alaska
66,Elim,AK,Alaska
67,Emmonak,AK,Alaska
68,Ester,AK,Alaska
69,Fairbanks,AK,Alaska
70,False Pass,AK,Alaska
71,Fort Greely,AK,Alaska
72,Fort Wainwright,AK,Alaska
73,Fort Yukon,AK,Alaska
74,Gakona,AK,Alaska
75,Galena,AK,Alaska
76,Gambell,AK,Alaska
77,Girdwood,AK,Alaska
78,Glennallen,AK,Alaska
79,Goodnews Bay,AK,Alaska
80,Grayling,AK,Alaska
81,Gustavus,AK,Alaska
82,Haines,AK,Alaska
83,Healy,AK,Alaska
84,Holy Cross,AK,Alaska
85,Homer,AK,Alaska
86,Hoonah,AK,Alaska
87,Hooper Bay,AK,Alaska
88,Hope,AK,Alaska
89,Houston,AK,Alaska
90,Hughes,AK,Alaska
91,Huslia,AK,Alaska
92,Hydaburg,AK,Alaska
93,Hyder,AK,Alaska
94,Iliamna,AK,Alaska
95,Indian,AK,Alaska
96,Jber,AK,Alaska
97,JBER,AK,Alaska
98,Juneau,AK,Alaska
99,Kake,AK,Alaska
100,Kaktovik,AK,Alaska
101,Kalskag,AK,Alaska
102,Kaltag,AK,Alaska
103,Karluk,AK,Alaska
104,Kasigluk,AK,Alaska
105,Kasilof,AK,Alaska
106,Kenai,AK,Alaska
107,Ketchikan,AK,Alaska
108,Kiana,AK,Alaska
109,King Cove,AK,Alaska
110,King Salmon,AK,Alaska
111,Kipnuk,AK,Alaska
112,Kivalina,AK,Alaska
113,Klawock,AK,Alaska
114,Kobuk,AK,Alaska
115,Kodiak,AK,Alaska
116,Kongiganak,AK,Alaska
117,Kotlik,AK,Alaska
118,Kotzebue,AK,Alaska
119,Koyuk,AK,Alaska
120,Koyukuk,AK,Alaska
121,Kwethluk,AK,Alaska
122,Kwigillingok,AK,Alaska
123,Lake Minchumina,AK,Alaska
124,Larsen Bay,AK,Alaska
125,Levelock,AK,Alaska
126,Lower Kalskag,AK,Alaska
127,Manley Hot Springs,AK,Alaska
128,Manokotak,AK,Alaska
129,Marshall,AK,Alaska
130,Mc Grath,AK,Alaska
131,Mekoryuk,AK,Alaska
132,Metlakatla,AK,Alaska
